"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","173490929116660480_1","2025-07-06","West Bengal","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","L","1","743.0","632.0","ONF062537065714"
"DELIVERED","173492558037536329_1","2025-07-06","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","32A","1","743.0","632.0","ONF062537065687"
"DELIVERED","173494186196922496_1","2025-07-06","Tamil Nadu","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","XL","1","743.0","632.0","ONF062537065705"
"DELIVERED","173621431429516736_1","2025-07-07","Karnataka","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","34A","1","743.0","743.0","ONF062537065718"
"DELIVERED","173621761769309504_1","2025-07-07","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","XXL","1","734.0","734.0","TAIARDF10879804"
"CANCELLED","173627772271129664_1","2025-07-07","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","32A","1","743.0","743.0",
"DELIVERED","173631127248761984_1","2025-07-07","Gujarat","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","34A","1","743.0","743.0","ONF062537065712"
"DELIVERED","173645368613728384_1","2025-07-07","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","r7CkYnwW","XXL","1","743.0","743.0","ONF062537065682"
"RTO_COMPLETE","173661943868524800_1","2025-07-07","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","30A","1","743.0","743.0","ONF062537065717"
"DELIVERED","173662596736500736_1","2025-07-07","Madhya Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","S","1","734.0","734.0","ONF062537065710"
"CANCELLED","173664773821232256_1","2025-07-07","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","XL","1","743.0","743.0",
"DELIVERED","173680641531768960_1","2025-07-07","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","XL","1","734.0","734.0","ONF062537065713"
"CANCELLED","173696196926539392_1","2025-07-07","Assam","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","r7CkYnwW","L","1","743.0","743.0",
"CANCELLED","173697786619907648_1","2025-07-07","Goa","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","34A","1","743.0","743.0",
